Station_Id_C Year Mon Day Hour TEM RHU PRE_1h
58235 2022 1 11 12 1.5000 67 0.0000 
58235 2022 1 11 13 0.4000 68 0.0000 
58235 2022 1 11 14 0.0000 71 0.0000 
58235 2022 1 11 15 -0.6000 80 0.0000 
58235 2022 1 11 16 -0.8000 80 0.0000 
58235 2022 1 11 17 -1.1000 85 0.0000 
58235 2022 1 11 18 -2.2000 91 0.0000 
58235 2022 1 11 19 -2.6000 92 0.0000 
58235 2022 1 11 20 -2.0000 93 0.0000 
58235 2022 1 11 21 -2.6000 93 0.0000 
58235 2022 1 11 22 -1.8000 87 0.0000 
58235 2022 1 11 23 -1.5000 81 0.0000 
58235 2022 1 12 0 -1.6000 85 0.0000 
58235 2022 1 12 1 0.6000 78 0.0000 
58235 2022 1 12 2 3.5000 68 0.0000 
58235 2022 1 12 3 5.7000 51 0.0000 
58235 2022 1 12 4 7.0000 47 0.0000 
58235 2022 1 12 5 8.0000 45 0.0000 
58235 2022 1 12 6 8.9000 41 0.0000 
58235 2022 1 12 7 9.2000 39 0.0000 
58235 2022 1 12 8 8.5000 41 0.0000 
58235 2022 1 12 9 8.2000 44 0.0000 
58235 2022 1 12 10 6.4000 51 0.0000 
58235 2022 1 12 11 4.3000 74 0.0000 
58235 2022 1 12 12 3.2000 74 0.0000 
58235 2022 1 12 13 2.3000 81 0.0000 
58235 2022 1 12 14 3.1000 76 0.0000 
58235 2022 1 12 15 3.6000 72 0.0000 
58235 2022 1 12 16 4.1000 79 0.0000 
58235 2022 1 12 17 3.7000 82 0.0000 
58235 2022 1 12 18 3.6000 80 0.0000 
58235 2022 1 12 19 3.3000 79 0.0000 
58235 2022 1 12 20 2.8000 73 0.0000 
58235 2022 1 12 21 2.4000 71 0.0000 
58235 2022 1 12 22 1.7000 71 0.0000 
58235 2022 1 12 23 0.4000 45 0.0000 
58235 2022 1 13 0 -0.2000 46 0.0000 
58235 2022 1 13 1 0.9000 41 0.0000 
58235 2022 1 13 2 1.9000 34 0.0000 
58235 2022 1 13 3 2.9000 32 0.0000 
58235 2022 1 13 4 3.7000 27 0.0000 
58235 2022 1 13 5 3.8000 28 0.0000 
58237 2022 1 7 0 2.6000 89 0.0000 
58237 2022 1 7 1 3.7000 85 0.0000 
58237 2022 1 7 2 5.2000 75 0.0000 
58237 2022 1 7 3 6.2000 58 0.0000 
58237 2022 1 7 4 7.2000 56 0.0000 
58237 2022 1 7 5 7.9000 54 0.0000 
58237 2022 1 7 6 8.4000 45 0.0000 
58237 2022 1 7 7 8.5000 47 0.0000 
58237 2022 1 7 8 8.0000 50 0.0000 
58237 2022 1 7 9 6.8000 60 0.0000 
58237 2022 1 7 10 5.4000 67 0.0000 
58237 2022 1 7 11 4.2000 77 0.0000 
58237 2022 1 7 12 4.7000 75 0.0000 
58237 2022 1 7 13 5.3000 71 0.0000 
58237 2022 1 7 14 5.3000 71 0.0000 
58237 2022 1 7 15 5.2000 72 0.0000 
58237 2022 1 7 16 5.0000 72 0.0000 
58237 2022 1 7 17 4.9000 75 0.0000 
58237 2022 1 7 18 4.9000 74 0.0000 
58237 2022 1 7 19 4.3000 81 0.0000 
